SYS_StoreNo,TXN_Date,ECR_No,TXN_No,TXN_Item,TXN_Time,TXN_GUINo,PLU_No,DEP_No,VEN_No,CAT_No,TXN_Qty,PLU_FixPrc,PLU_SalePrc,TXN_DiscS,TXN_DiscM,TXN_DiscT,TXN_SaleAmt,TXN_SaleTax,TXN_SaleNoTax,TXN_Net,TXN_Tax,PLU_TaxType,MMP_No,MAM_No,MAM_Condition,MAM_TotAmt,MAM_CombNo,MAM_CombGrp,MAM_Method,TXN_Ref,TXN_AuthNo,TXN_AuthReason,TXN_GUIPageNo,TXN_Mode,TXN_Status,TXN_VIP,MAM_UnitPrc,MAN_ChangeNo,PLU_Disc,TXN_RebateS,TXN_RebateT,TXN_Ret_Cod,TXN_Except_Sta,PLU_MagNo,PLU_Type,PLU_Set_Code,TXN_ActualPrc,TXN_DiscP,SDEP_No,SCAT_No,TXN_Type,TXN_MINUS_GM_Amt,TXN_Coup_Disc_Amt,TXN_Sales,PLU_Health,PLU_HealthPrc,PLU_HealthBegDate,PLU_HealthEndDate,TXN_HealthAmt,TXN_DiscMebDiv,PLU_Gift,TXN_UseSalePrc,PLU_Source,MAM_UseScore,MAM_DoScore,MAM_MultiScore,TXN_DownMarginAmt,TXN_PayQuartAmt,TXN_PayQuart,CRT_Date,CRT_USR_No,UPD_Date,UPD_USR_No,PLU_Name
82102,1/16/2015 0:00,821022,64,3,1/16/2015 13:17,TN95857624,4710006774527,4,E0012K,40702,1,18,14,0,0,0,14,14,0,13.33,0.67,1,,,0,0,,,1,,,,0,R,N,N,14,,Y,0,0,,N,407028841521,1,,14,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,喵喵18元卡片(希
82102,1/16/2015 0:00,821022,64,4,1/16/2015 13:17,TN95857624,4713809548203,4,E0012K,40701,1,25,20,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,20,,Y,0,0,,N,407018802648,1,,20,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,北極熊生日卡(氣
82102,1/16/2015 0:00,821022,64,5,1/16/2015 13:17,TN95857624,4712765867427,4,E0016K,40703,1,20,16,0,0,0,16,16,0,15.24,0.76,1,,,0,0,,,1,,,,0,R,N,N,16,,Y,0,0,,N,407038800839,1,,16,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,心意感謝卡
82102,1/16/2015 0:00,821022,64,6,1/16/2015 13:17,TN95857624,4713027198433,4,E0006K,40704,1,15,12,0,0,0,12,12,0,11.43,0.57,1,,,0,0,,,1,,,,0,R,N,N,12,,Y,0,0,,N,407048801901,1,,12,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,萬用禮卡-虹象 FK
82102,1/16/2015 0:00,821022,64,7,1/16/2015 13:17,TN95857624,4715709126871,5,E0502G,51002,1,25,18,0,0,0,18,18,0,17.14,0.86,1,,,0,0,,,1,,,,0,R,N,N,18,,Y,0,0,,N,510028812276,1,,18,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,CKS BP-238彩格-
82102,1/16/2015 0:00,821022,64,8,1/16/2015 13:17,TN95857624,4715709126833,5,E0502G,51002,1,25,18,0,0,0,18,18,0,17.14,0.86,1,,,0,0,,,1,,,,0,R,N,N,18,,Y,0,0,,N,510028812306,1,,18,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,CKS BP-238彩格-
82102,1/16/2015 0:00,821022,64,9,1/16/2015 13:17,TN95857624,4902778568156,5,E0501G,51003,1,48,27,0,0,0,27,27,0,25.71,1.29,1,,,0,0,,,1,,,,0,R,N,N,27,,Y,0,0,,N,510038800676,1,,27,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,UM151-藍.38
82102,1/16/2015 0:00,821022,64,10,1/16/2015 13:17,TN95857624,4715709126819,5,E0502G,51002,1,25,18,0,0,0,18,18,0,17.14,0.86,1,,,0,0,,,1,,,,0,R,N,N,18,,Y,0,0,,N,510028812092,1,,18,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,CKS BP-238彩格-
82102,1/16/2015 0:00,821022,64,11,1/16/2015 13:17,TN95857624,4710006775425,4,E0012K,40702,1,12,10,0,0,0,10,10,0,9.52,0.48,1,,,0,0,,,1,,,,0,R,N,N,10,,Y,0,0,,N,407028843075,1,,10,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,陳又凌小卡(慶祝)
82102,1/16/2015 0:00,821022,64,12,1/16/2015 13:17,TN95857624,4710006774541,4,E0012K,40702,1,18,14,0,0,0,14,14,0,13.33,0.67,1,,,0,0,,,1,,,,0,R,N,N,14,,Y,0,0,,N,407028841538,1,,14,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,喵喵18元卡片(最
82102,1/16/2015 0:00,821022,65,1,1/16/2015 13:17,TN95857625,6946884501520,5,U0002A,50203,2,25,12,0,0,0,24,24,0,22.86,1.14,1,,,0,0,,,1,,,,0,R,N,N,12,,Y,0,0,,N,502038600011,1,,12,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,本木生活32K空白
82102,1/16/2015 0:00,821022,65,2,1/16/2015 13:17,TN95857625,4714126208573,5,E0510K,51015,1,30,18,0,0,0,18,18,0,17.14,0.86,1,,,0,0,,,1,,,,0,R,N,N,18,,Y,0,0,,N,510158800907,1,,18,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,S203壓克力水彩顏
82102,1/16/2015 0:00,821022,66,1,1/16/2015 13:20,TN95857626,4902505126314,5,E0502G,51003,1,550,329,0,0,0,329,329,0,313.33,15.67,1,,,0,0,,,1,,,,0,R,N,N,329,,Y,0,0,,N,510038800430,1,,329,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:20,8888,,,百樂鋼珠筆 C3 10
82102,1/16/2015 0:00,821022,66,2,1/16/2015 13:20,TN95857626,4713760043359,5,E0004K,50403,2,49,49,0,0,0,98,98,0,93.33,4.67,1,,,0,0,,,1,,,,0,R,N,N,49,,Y,0,0,,N,504038801238,1,,49,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:20,8888,,,特)B5/26孔活頁紙
82102,1/16/2015 0:00,821022,67,1,1/16/2015 13:22,TN95857627,4713750507151,5,H0018G,50504,2,90,39,0,0,0,78,78,0,74.29,3.71,1,,,0,0,,,1,,,,0,R,N,N,39,,Y,0,0,,N,505048800327,1,,39,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,隨意盒 OF-A03
82102,1/16/2015 0:00,821022,67,2,1/16/2015 13:22,TN95857627,4718055068000,5,E0508G,50504,2,75,39,0,0,0,78,78,0,74.29,3.71,1,,,0,0,,,1,,,,0,R,N,N,39,,Y,0,0,,N,505048800051,1,,39,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,開放式圓孔雜誌箱
82102,1/16/2015 0:00,821022,67,3,1/16/2015 13:22,TN95857627,6923450656181,4,U0002A,40101,1,65,49,0,0,0,49,49,0,46.67,2.33,1,,,0,0,,,1,,,,0,R,N,N,49,,Y,0,0,,N,401018603175,1,,49,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,2015月曆貼紙
82102,1/16/2015 0:00,821022,67,4,1/16/2015 13:22,TN95857627,4710367273837,5,E0501G,51114,1,50,37,0,0,0,37,37,0,35.24,1.76,1,,,0,0,,,1,,,,0,R,N,N,37,,Y,0,0,,N,511178802087,1,,37,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,3M812可再貼補充
82102,1/16/2015 0:00,821022,67,5,1/16/2015 13:22,TN95857627,4710367273820,5,E0501G,51117,1,50,37,0,0,0,37,37,0,35.24,1.76,1,,,0,0,,,1,,,,0,R,N,N,37,,Y,0,0,,N,511178802070,1,,37,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,3M812可再貼補充
82102,1/16/2015 0:00,821022,67,6,1/16/2015 13:22,TN95857627,4719271776427,4,E0017K,40805,4,5,5,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,5,,Y,0,0,,N,408058802148,1,,5,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,A4-銀點紙6色
82102,1/16/2015 0:00,821022,67,7,1/16/2015 13:22,TN95857627,4719271795114,4,E0017K,40807,10,5,5,0,0,0,50,50,0,47.62,2.38,1,,,0,0,,,1,,,,0,R,N,N,5,,Y,0,0,,N,408078800186,1,,5,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,A4-(義)星幻紙
82102,1/16/2015 0:00,821022,68,1,1/16/2015 13:22,TN95857628,4717605093172,5,E0525P,50108,1,25,18,0,0,0,18,18,0,17.14,0.86,1,,,0,0,,,1,,,,0,R,N,N,18,,Y,0,0,,N,501088805124,1,,18,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:22,8888,,,大4K氣泡紅框資料
82102,1/16/2015 0:00,821022,69,1,1/16/2015 13:23,TN95857629,4712765873251,4,E0016K,40701,1,25,20,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,20,,Y,0,0,,N,407018808312,1,,20,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:23,8888,,,黑皮立體卡-貓咪
82102,1/16/2015 0:00,821022,70,1,1/16/2015 13:23,TN95857630,4715896810096,5,E0503G,51102,2,10,7,0,0,0,14,14,0,13.33,0.67,1,,,0,0,,,1,,,,0,R,N,N,7,,Y,0,0,,N,511028800621,1,,7,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:23,8888,,,足勇81009美工刀
82102,1/16/2015 0:00,821022,71,1,1/16/2015 13:24,TN95857631,8809305365706,5,U0001A,50502,1,300,49,0,0,0,49,49,0,46.67,2.33,1,,,0,0,,,1,,,,0,R,N,N,49,,Y,0,0,,N,505028200758,1,,49,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:24,8888,,,害羞小熊筆袋5706
82102,1/16/2015 0:00,821022,72,1,1/16/2015 13:26,TN95857632,4713752590410,5,E0013K,50601,1,45,36,0,0,0,36,36,0,34.29,1.71,1,,,0,0,,,1,,,,0,R,N,N,36,,Y,0,0,,N,506018815600,1,,36,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:26,8888,,,時尚輕便袋-100K
82102,1/16/2015 0:00,821022,73,1,1/16/2015 13:27,TN95857633,4713696366218,5,E0009K,50501,1,250,200,0,0,0,200,200,0,190.48,9.52,1,,,0,0,,,1,,,,0,R,N,N,200,,Y,0,0,,N,505018813135,1,,200,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,O-CAT貓耳燒餅包(
82102,1/16/2015 0:00,821022,73,2,1/16/2015 13:27,TN95857633,4713696366201,5,E0009K,50501,1,250,200,0,0,0,200,200,0,190.48,9.52,1,,,0,0,,,1,,,,0,R,N,N,200,,Y,0,0,,N,505018813142,1,,200,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,O-CAT貓耳燒餅包(
82102,1/16/2015 0:00,821022,73,3,1/16/2015 13:27,TN95857633,4713501010411,5,E0503G,51114,2,30,15,0,0,0,30,30,0,28.57,1.43,1,,,0,0,,,1,,,,0,R,N,N,15,,Y,0,0,,N,511178801721,1,,15,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,北極熊雙面膠帶12
82102,1/16/2015 0:00,821022,73,4,1/16/2015 13:27,TN95857633,4713501010107,5,E0501G,51114,2,15,10,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,10,,Y,0,0,,N,511178801769,1,,10,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,北極熊雙面膠帶6m
82102,1/16/2015 0:00,821022,73,5,1/16/2015 13:27,TN95857633,4714725010409,4,X0014K,40601,1,40,19,0,0,0,19,19,0,18.1,0.9,1,,,0,0,,,1,,,,0,R,N,N,19,,Y,0,0,,N,406018801491,1,,19,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,香水紅包袋50入
82102,1/16/2015 0:00,821022,73,6,1/16/2015 13:27,TN95857633,4717099011225,5,E0512G,50602,2,90,49,0,0,0,98,98,0,93.33,4.67,1,,,0,0,,,1,,,,0,R,N,N,49,,Y,0,0,,N,506028801617,1,,49,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,資料本-40頁入紙
82102,1/16/2015 0:00,821022,73,7,1/16/2015 13:27,TN95857633,4713760104487,5,E0004K,50501,1,190,152,0,0,0,152,152,0,144.76,7.24,1,,,0,0,,,1,,,,0,R,N,N,152,,Y,0,0,,N,505018812275,1,,152,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,13K防護收納網袋-
82102,1/16/2015 0:00,821022,73,8,1/16/2015 13:27,TN95857633,4712922020634,5,E0001K,50108,1,220,176,0,0,0,176,176,0,167.62,8.38,1,,,0,0,,,1,,,,0,R,N,N,176,,Y,0,0,,N,501088806497,1,,176,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,9K牛皮信封(100入
82102,1/16/2015 0:00,821022,73,9,1/16/2015 13:27,TN95857633,4712922020597,5,E0001K,50108,1,450,360,0,0,0,360,360,0,342.86,17.14,1,,,0,0,,,1,,,,0,R,N,N,360,,Y,0,0,,N,501088806459,1,,360,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,5K牛皮信封(100入
82102,1/16/2015 0:00,821022,73,10,1/16/2015 13:27,TN95857633,4717099163047,5,E0512G,50601,3,75,39,0,0,0,117,117,0,111.43,5.57,1,,,0,0,,,1,,,,0,R,N,N,39,,Y,0,0,,N,506018801115,1,,39,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,新德牌U310文件套
82102,1/16/2015 0:00,821022,73,11,1/16/2015 13:27,TN95857633,4712839862686,5,E0023K,51105,1,40,30,0,0,0,30,30,0,28.57,1.43,1,,,0,0,,,1,,,,0,R,N,N,30,,Y,0,0,,N,511058800585,1,,30,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:27,8888,,,一般型免機器護貝
82102,1/16/2015 0:00,821022,74,1,1/16/2015 13:28,TN95857634,4714253300089,5,E0501G,50704,1,53,39,0,0,0,39,39,0,37.14,1.86,1,,,0,0,,,1,,,,0,R,N,N,39,,Y,0,0,,N,507048801441,1,,39,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:28,8888,,,自強粉筆-綠.藍.
82102,1/16/2015 0:00,821022,75,1,1/16/2015 13:28,TN95857635,4713696365815,5,E0009K,50103,1,150,99,0,0,0,99,99,0,94.29,4.71,1,,,0,0,,,1,,,,0,R,N,N,99,,Y,0,0,,N,501038813964,1,,99,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:28,8888,,,2015事務靚彩手冊
82102,1/16/2015 0:00,821022,75,2,1/16/2015 13:28,TN95857635,4711577021034,5,E0502G,51013,1,25,15,0,0,0,15,15,0,14.29,0.71,1,,,0,0,,,1,,,,0,R,N,N,15,,Y,0,0,,N,510138803911,1,,15,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:28,8888,,,百點ZE80橡皮擦綠
82102,1/16/2015 0:00,821022,76,1,1/16/2015 13:28,TN95857636,4710367836438,5,E0502G,51118,1,40,30,0,0,0,30,30,0,28.57,1.43,1,,,0,0,,,1,,,,0,R,N,N,30,,Y,0,0,,N,511188805030,1,,30,0,,,S,0,0,,N,0,,,0,0,0,N,1,0,,0,0,0,0,1/16/2015 13:28,8888,,,3M 8色螢光標籤58
82102,1/16/2015 0:00,821022,77,1,1/16/2015 13:29,TN95857637,4902778657485,5,E0501G,51003,1,48,27,0,0,0,27,27,0,25.71,1.29,1,,,0,0,,,1,,,,0,R,N,N,27,,Y,0,0,,N,510038800805,1,,27,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:29,8888,,,UM151-酒紅.38
82102,1/16/2015 0:00,821022,78,1,1/16/2015 13:30,TN95857638,4712922029309,4,E0001K,40204,1,45,36,0,0,0,36,36,0,34.29,1.71,1,,,0,0,,,1,,,,0,R,N,N,36,,Y,0,0,,N,402048801845,1,,36,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:30,8888,,,新雲龍色紙100入
82102,1/16/2015 0:00,821022,78,2,1/16/2015 13:30,TN95857638,4719271049750,4,E0017K,40805,1,40,30,0,0,0,30,30,0,28.57,1.43,1,,,0,0,,,1,,,,0,R,N,N,30,,Y,0,0,,N,408058801899,1,,30,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:30,8888,,,A4 190P道林紙(20
82102,1/16/2015 0:00,821022,78,3,1/16/2015 13:30,TN95857638,4710736227621,5,E0506K,50802,1,299,239,0,0,0,239,239,0,227.62,11.38,1,,,0,0,,,1,,,,0,R,N,N,239,,Y,0,0,,N,508028800508,1,,239,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:30,8888,,,A4雪白特厚紙-白
82102,1/16/2015 0:00,821022,78,4,1/16/2015 13:30,TN95857638,4719271030369,4,E0017K,40803,1,50,49,0,0,0,49,49,0,46.67,2.33,1,,,0,0,,,1,,,,0,R,N,N,49,,Y,0,0,,N,408038800041,1,,49,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:30,8888,,,粉彩紙(混合包)A4
82102,1/16/2015 0:00,821022,78,5,1/16/2015 13:30,TN95857638,909070601714,4,E0017K,40805,4,5,5,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,5,,Y,0,0,,N,408058801523,1,,5,0,,,S,0,0,,N,0,,,0,0,0,N,1,0,,0,0,0,0,1/16/2015 13:30,8888,,,美術紙-A4-(總)
82102,1/16/2015 0:00,821022,79,1,1/16/2015 13:30,TN95857639,4711213786693,4,D0001K,40201,1,30,24,0,0,0,24,24,0,22.86,1.14,1,,,0,0,,,1,,,,0,R,N,N,24,,Y,0,0,,N,402012100011,1,,24,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:30,8888,,,犀鳥單色毛線
82102,1/16/2015 0:00,821022,79,2,1/16/2015 13:30,TN95857639,909070601714,4,E0017K,40805,1,5,5,0,0,0,5,5,0,4.76,0.24,1,,,0,0,,,1,,,,0,R,N,N,5,,Y,0,0,,N,408058801523,1,,5,0,,,S,0,0,,N,0,,,0,0,0,N,1,0,,0,0,0,0,1/16/2015 13:30,8888,,,美術紙-A4-(總)
82102,1/16/2015 0:00,821022,80,1,1/16/2015 13:31,TN95857640,4713752589988,5,E0013K,50501,1,50,40,0,0,0,40,40,0,38.1,1.9,1,,,0,0,,,1,,,,0,R,N,N,40,,Y,0,0,,N,505018803631,1,,40,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:31,8888,,,時尚輕便袋-50K
82102,1/16/2015 0:00,821022,81,1,1/16/2015 13:31,TN95857641,21200728136,5,E0501G,51114,3,95,69,0,0,0,207,207,0,197.14,9.86,1,,,0,0,,,1,,,,0,R,N,N,69,,Y,0,0,,N,511178800151,1,,69,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:31,8888,,,3M隱形膠帶 810-3
82102,1/16/2015 0:00,821022,82,1,1/16/2015 13:31,TN95857642,8809295510759,1,U0001A,10604,2,25,15,0,0,0,26,26,0,24.76,1.24,1,,90001004750,0,0,,,P,,,,0,R,N,N,15,90001,N,0,0,,N,106048600018,1,,13,-4,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:31,8888,,,點心犬面紙1075
82102,1/16/2015 0:00,821022,82,2,1/16/2015 13:31,TN95857642,8809229023232,1,U0001A,10604,1,25,15,0,0,0,13,13,0,12.38,0.62,1,,90001004750,0,0,,,P,,,,0,R,N,N,15,90001,N,0,0,,N,106048200072,1,,13,-2,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:31,8888,,,可愛女孩面紙3232
82102,1/16/2015 0:00,821022,83,1,1/16/2015 13:32,TN95857643,4718251401304,5,E0516K,50501,2,25,20,0,0,0,40,40,0,38.1,1.9,1,,,0,0,,,1,,,,0,R,N,N,20,,Y,0,0,,N,505018807301,1,,20,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:32,8888,,,加厚直魔扣公文袋
82102,1/16/2015 0:00,821022,84,1,1/16/2015 13:32,TN95857644,4713501872026,5,E0501G,51114,1,40,30,0,0,0,30,30,0,28.57,1.43,1,,,0,0,,,1,,,,0,R,N,N,30,,Y,0,0,,N,511148803182,1,,30,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:32,8888,,,波拉貝爾隨意貼 3
82102,1/16/2015 0:00,821022,84,2,1/16/2015 13:32,TN95857644,1111140101379,8,X0007M,81301,1,20,12,0,0,0,12,12,0,11.43,0.57,1,,,0,0,,,1,,,,0,R,N,N,12,,Y,0,0,,N,813018800278,1,,12,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:32,8888,,,快乾膠
82102,1/16/2015 0:00,821022,85,1,1/16/2015 13:33,TN95857645,4714758131591,5,X0015O,50303,1,60,48,0,0,0,48,48,0,45.71,2.29,1,,,0,0,,,1,,,,0,R,N,N,48,,Y,0,0,,N,503038817379,1,,48,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:33,8888,,,動物樂園32K隨手
82102,1/16/2015 0:00,821022,85,2,1/16/2015 13:33,TN95857645,4713696365907,5,E0009K,50103,1,160,115,0,0,0,115,115,0,109.52,5.48,1,,,0,0,,,1,,,,0,R,N,N,115,,Y,0,0,,N,501038813971,1,,115,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:33,8888,,,2015 o-cat年度手
82102,1/16/2015 0:00,821022,86,1,1/16/2015 13:34,TN95857646,4710609100013,5,X0005G,51008,5,20,12,0,0,0,60,60,0,57.14,2.86,1,,,0,0,,,1,,,,0,R,N,N,12,,Y,0,0,,N,510088801692,1,,12,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:34,8888,,,雄獅200奇異筆-黑
82102,1/16/2015 0:00,821022,86,2,1/16/2015 13:34,TN95857646,4536111901395,5,E0503G,51002,5,10,7,0,0,0,35,35,0,33.33,1.67,1,,,0,0,,,1,,,,0,R,N,N,7,,Y,0,0,,N,510028803564,1,,7,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:34,8888,,,OB #1007原子筆-
82102,1/16/2015 0:00,821022,87,1,1/16/2015 13:36,TN95857647,4714551846135,5,E0014K,50107,1,30,24,0,0,0,24,24,0,22.86,1.14,1,,,0,0,,,1,,,,0,R,N,N,24,,Y,0,0,,N,501078806483,1,,24,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:36,8888,,,poca32入信紙
82102,1/16/2015 0:00,821022,87,2,1/16/2015 13:36,TN95857647,4712755193864,5,E0012K,50202,1,25,20,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,20,,Y,0,0,,N,502028806317,1,,20,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:36,8888,,,新25K定頁筆記-熊
82102,1/16/2015 0:00,821022,87,3,1/16/2015 13:36,TN95857647,4716820304681,5,E0018K,50202,1,25,20,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,20,,Y,0,0,,N,502028812448,1,,20,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:36,8888,,,O ha yo 25K橫線
